revision,system,committer_date_readable,committer_date_unix,source_lines_of_code,architecture,binding-file,environment,extractor,kconfig-file,model-features,model-file,model-literals,model-time,model-variables
v2.5.45,linux,2002-10-31,1036025460,3495214,alpha,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=alpha|ARCH=alpha|SRCARCH=alpha|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/alpha/Kconfig,3078,kconfigreader/linux/v2.5.45[alpha].model,62431,4631858643,3439
v2.5.45,linux,2002-10-31,1036025460,3495214,alpha,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=alpha|ARCH=alpha|SRCARCH=alpha|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/alpha/Kconfig,2154,kmax/linux/v2.5.45[alpha].model,13553,19515263550,2067
v2.5.45,linux,2002-10-31,1036025460,3495214,arm,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=arm|ARCH=arm|SRCARCH=arm|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/arm/Kconfig,3177,kconfigreader/linux/v2.5.45[arm].model,75272,4694065791,3521
v2.5.45,linux,2002-10-31,1036025460,3495214,arm,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=arm|ARCH=arm|SRCARCH=arm|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/arm/Kconfig,2210,kmax/linux/v2.5.45[arm].model,15594,18113773436,2131
v2.5.45,linux,2002-10-31,1036025460,3495214,cris,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=cris|ARCH=cris|SRCARCH=cris|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/cris/Kconfig,2947,kconfigreader/linux/v2.5.45[cris].model,46919,4494592090,3535
v2.5.45,linux,2002-10-31,1036025460,3495214,cris,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=cris|ARCH=cris|SRCARCH=cris|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/cris/Kconfig,2118,kmax/linux/v2.5.45[cris].model,8880,15807246341,2071
v2.5.45,linux,2002-10-31,1036025460,3495214,i386,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=i386|ARCH=i386|SRCARCH=i386|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/i386/Kconfig,3263,kconfigreader/linux/v2.5.45[i386].model,66563,4862118780,3629
v2.5.45,linux,2002-10-31,1036025460,3495214,i386,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=i386|ARCH=i386|SRCARCH=i386|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/i386/Kconfig,2275,kmax/linux/v2.5.45[i386].model,13838,18265743475,2175
v2.5.45,linux,2002-10-31,1036025460,3495214,ia64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ia64|ARCH=ia64|SRCARCH=ia64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/ia64/Kconfig,3090,kconfigreader/linux/v2.5.45[ia64].model,73934,4672714037,3450
v2.5.45,linux,2002-10-31,1036025460,3495214,ia64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ia64|ARCH=ia64|SRCARCH=ia64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/ia64/Kconfig,2156,kmax/linux/v2.5.45[ia64].model,15008,17677131708,2063
v2.5.45,linux,2002-10-31,1036025460,3495214,m68k,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=m68k|ARCH=m68k|SRCARCH=m68k|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/m68k/Kconfig,1483,kconfigreader/linux/v2.5.45[m68k].model,27334,3343513989,1580
v2.5.45,linux,2002-10-31,1036025460,3495214,m68k,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=m68k|ARCH=m68k|SRCARCH=m68k|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/m68k/Kconfig,1053,kmax/linux/v2.5.45[m68k].model,6314,8124529240,980
v2.5.45,linux,2002-10-31,1036025460,3495214,mips,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=mips|ARCH=mips|SRCARCH=mips|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/mips/Kconfig,,kconfigreader/NA,,474649129,
v2.5.45,linux,2002-10-31,1036025460,3495214,mips,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=mips|ARCH=mips|SRCARCH=mips|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/mips/Kconfig,,kmax/NA,,506418130,
v2.5.45,linux,2002-10-31,1036025460,3495214,mips64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=mips64|ARCH=mips64|SRCARCH=mips64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/mips64/Kconfig,3062,kconfigreader/linux/v2.5.45[mips64].model,61433,4701598467,3421
v2.5.45,linux,2002-10-31,1036025460,3495214,mips64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=mips64|ARCH=mips64|SRCARCH=mips64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/mips64/Kconfig,2128,kmax/linux/v2.5.45[mips64].model,12450,16340556343,2036
v2.5.45,linux,2002-10-31,1036025460,3495214,parisc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=parisc|ARCH=parisc|SRCARCH=parisc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/parisc/Kconfig,1805,kconfigreader/linux/v2.5.45[parisc].model,30063,3831716216,2004
v2.5.45,linux,2002-10-31,1036025460,3495214,parisc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=parisc|ARCH=parisc|SRCARCH=parisc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/parisc/Kconfig,1281,kmax/linux/v2.5.45[parisc].model,6827,9497848781,1187
v2.5.45,linux,2002-10-31,1036025460,3495214,ppc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ppc|ARCH=ppc|SRCARCH=ppc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/ppc/Kconfig,3321,kconfigreader/linux/v2.5.45[ppc].model,67478,4699177046,3715
v2.5.45,linux,2002-10-31,1036025460,3495214,ppc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ppc|ARCH=ppc|SRCARCH=ppc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/ppc/Kconfig,2345,kmax/linux/v2.5.45[ppc].model,14706,20527880037,2266
v2.5.45,linux,2002-10-31,1036025460,3495214,ppc64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ppc64|ARCH=ppc64|SRCARCH=ppc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/ppc64/Kconfig,3116,kconfigreader/linux/v2.5.45[ppc64].model,63372,4449450350,3473
v2.5.45,linux,2002-10-31,1036025460,3495214,ppc64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ppc64|ARCH=ppc64|SRCARCH=ppc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/ppc64/Kconfig,2154,kmax/linux/v2.5.45[ppc64].model,12670,16434478929,2067
v2.5.45,linux,2002-10-31,1036025460,3495214,s390,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=s390|ARCH=s390|SRCARCH=s390|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/s390/Kconfig,851,kconfigreader/linux/v2.5.45[s390].model,12810,2728136202,916
v2.5.45,linux,2002-10-31,1036025460,3495214,s390,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=s390|ARCH=s390|SRCARCH=s390|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/s390/Kconfig,599,kmax/linux/v2.5.45[s390].model,2566,4438485532,546
v2.5.45,linux,2002-10-31,1036025460,3495214,s390x,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=s390x|ARCH=s390x|SRCARCH=s390x|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/s390x/Kconfig,853,kconfigreader/linux/v2.5.45[s390x].model,12842,2654284862,919
v2.5.45,linux,2002-10-31,1036025460,3495214,s390x,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=s390x|ARCH=s390x|SRCARCH=s390x|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/s390x/Kconfig,599,kmax/linux/v2.5.45[s390x].model,2573,4443179700,548
v2.5.45,linux,2002-10-31,1036025460,3495214,sh,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sh|ARCH=sh|SRCARCH=sh|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/sh/Kconfig,2470,kconfigreader/linux/v2.5.45[sh].model,49827,4253996959,2802
v2.5.45,linux,2002-10-31,1036025460,3495214,sh,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=sh|ARCH=sh|SRCARCH=sh|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/sh/Kconfig,1738,kmax/linux/v2.5.45[sh].model,10723,14027582184,1652
v2.5.45,linux,2002-10-31,1036025460,3495214,sparc,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sparc|ARCH=sparc|SRCARCH=sparc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/sparc/Kconfig,2014,kconfigreader/linux/v2.5.45[sparc].model,42202,3932317761,2234
v2.5.45,linux,2002-10-31,1036025460,3495214,sparc,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=sparc|ARCH=sparc|SRCARCH=sparc|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kmax,arch/sparc/Kconfig,1445,kmax/linux/v2.5.45[sparc].model,8631,10967882861,1362
v2.5.45,linux,2002-10-31,1036025460,3495214,sparc64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=sparc64|ARCH=sparc64|SRCARCH=sparc64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.45,kconfigreader,arch/sparc64/Kconfig,2383,kconfigreader/linux/v2.5.45[sparc64].model,49155,4321508997,2646
